Fecha.DOF|TC
16/08/2008|N/E
17/08/2008|N/E
18/08/2008|10.1966
19/08/2008|10.1395
20/08/2008|10.1867
21/08/2008|10.1343
22/08/2008|10.1106
23/08/2008|N/E
24/08/2008|N/E
25/08/2008|10.0991
26/08/2008|10.1183
27/08/2008|10.1730
28/08/2008|10.1421
29/08/2008|10.1822
30/08/2008|N/E
31/08/2008|N/E
01/09/2008|10.2847
02/09/2008|10.3423
03/09/2008|10.3781
04/09/2008|10.3852
05/09/2008|10.4658
06/09/2008|N/E
07/09/2008|N/E
08/09/2008|10.5143
09/09/2008|10.4810
10/09/2008|10.5013
11/09/2008|10.5862
12/09/2008|10.6745
13/09/2008|N/E
14/09/2008|N/E
15/09/2008|10.5828
16/09/2008|N/E
17/09/2008|10.7054
18/09/2008|10.8702
19/09/2008|10.8365
20/09/2008|N/E
21/09/2008|N/E
22/09/2008|10.6133
23/09/2008|10.5879
24/09/2008|10.7264
25/09/2008|10.7879
26/09/2008|10.7653
27/09/2008|N/E
28/09/2008|N/E
29/09/2008|10.7919
30/09/2008|10.9397
01/10/2008|10.9814
02/10/2008|10.9811
03/10/2008|11.1296
04/10/2008|N/E
05/10/2008|N/E
06/10/2008|11.1188
07/10/2008|11.7667
08/10/2008|12.1196
09/10/2008|13.0417
10/10/2008|12.4433
11/10/2008|N/E
12/10/2008|N/E
13/10/2008|13.0867
14/10/2008|12.3743
15/10/2008|12.3450
16/10/2008|12.7192
17/10/2008|13.0633
18/10/2008|N/E
19/10/2008|N/E
20/10/2008|12.8475
21/10/2008|12.7617
22/10/2008|13.1233
23/10/2008|13.5592
24/10/2008|13.5025
25/10/2008|N/E
26/10/2008|N/E
27/10/2008|13.4000
28/10/2008|13.3083
29/10/2008|13.3692
30/10/2008|12.9142
31/10/2008|12.8342
01/11/2008|N/E
02/11/2008|N/E
03/11/2008|12.7125
04/11/2008|12.7875
05/11/2008|12.4862
06/11/2008|12.6042
07/11/2008|12.9500
08/11/2008|N/E
09/11/2008|N/E
10/11/2008|12.8392
11/11/2008|12.7850
12/11/2008|12.9892
13/11/2008|13.0875
14/11/2008|13.1663
15/11/2008|N/E
16/11/2008|N/E
17/11/2008|N/E
18/11/2008|13.0242
19/11/2008|13.1950
20/11/2008|13.1800
21/11/2008|13.5758
22/11/2008|N/E
23/11/2008|N/E
24/11/2008|13.9183
25/11/2008|13.4958
26/11/2008|13.3142
27/11/2008|13.2117
28/11/2008|13.2325
29/11/2008|N/E
30/11/2008|N/E
01/12/2008|13.3225
02/12/2008|13.5800
03/12/2008|13.5300
04/12/2008|13.5996
05/12/2008|13.5358
06/12/2008|N/E
07/12/2008|N/E
08/12/2008|13.7567
